,Title,Price,Location,Link
20,4 Beds 2 Baths - Townhouse,600,"Waterloo, ON",https://www.facebook.com/marketplace/item/441164532358637/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%228741939589183046%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8741939589183046%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.38976953243229%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228741939589183046%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
21,Private room for rent,700,"Waterloo, ON",https://www.facebook.com/marketplace/item/1006601380840833/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%2226195927643355432%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26195927643355432%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39008408611014%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226195927643355432%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
22,1 Bed 1 Bath - House,650,"Kitchener, ON",https://www.facebook.com/marketplace/item/1836863586844912/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%228721653494567425%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8721653494567425%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39048498755242%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228721653494567425%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
23,4 Beds 2 Baths - Apartment,500,"Waterloo, ON",https://www.facebook.com/marketplace/item/1904132840094602/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%2226470958902552557%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26470958902552557%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39075331177694%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226470958902552557%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
24,2 beds 1 bathroom – Townhouse,400,"Kitchener, ON",https://www.facebook.com/marketplace/item/1653988485527674/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%228747513418675149%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8747513418675149%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39087972884578%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228747513418675149%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
25,5 Beds 4 Baths Townhouse,825,"Waterloo, ON",https://www.facebook.com/marketplace/item/2875826532587251/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%228965671240144901%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8965671240144901%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.3909296057832%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228965671240144901%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
26,2 Beds 2 Baths Room only,980,"Waterloo, ON",https://www.facebook.com/marketplace/item/538663162302041/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%228928844923803750%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8928844923803750%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39115041434128%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228928844923803750%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
27,Private room for rent,700,"Waterloo, ON",https://www.facebook.com/marketplace/item/1108062557329817/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669174661735861%22%2C%22mf_story_key%22%3A%228607351099386457%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8607351099386457%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39125742111729%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228607351099386457%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
28,1 Bed 1 Bath - House,600,"Kitchener, ON",https://www.facebook.com/marketplace/item/1548558686048966/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228703738896347882%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8703738896347882%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39140464704719%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228703738896347882%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
29,Private room for rent,850,"Waterloo, ON",https://www.facebook.com/marketplace/item/1767733200408376/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%227013360748727287%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7013360748727287%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39178927390269%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227013360748727287%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
30,5 Beds 2 Baths Apartment,865,"Waterloo, ON",https://www.facebook.com/marketplace/item/573737955338132/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%2227504469665864916%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A27504469665864916%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39282571409153%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2227504469665864916%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
31,1 Bed 1 Bath - Apartment,600,"Waterloo, ON",https://www.facebook.com/marketplace/item/829725856003890/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228138238019623767%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8138238019623767%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39343154516131%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228138238019623767%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
32,2 Beds 2 Baths - Apartment,650,"Waterloo, ON",https://www.facebook.com/marketplace/item/1526918928187190/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228528029290651787%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8528029290651787%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39362722379537%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228528029290651787%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
33,Private room for rent,700,"Waterloo, ON",https://www.facebook.com/marketplace/item/588397677000678/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228497073353674607%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8497073353674607%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39412127002634%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228497073353674607%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
34,Private room for rent,700,"Waterloo, ON",https://www.facebook.com/marketplace/item/868136612170359/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228608718842582164%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8608718842582164%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.3948669323529%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228608718842582164%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
